Mass DM,SSHH,omega,SI 1,SI 2
838.0,0.13,0.115,1.393e-09,8.467e-10
840.0,0.13,0.115,1.390e-09,8.427e-10
842.0,0.13,0.11599999999999999,1.387e-09,8.387e-10
844.0,0.13,0.11599999999999999,1.383e-09,8.347e-10
846.0,0.13,0.11699999999999999,1.380e-09,8.308e-10
848.0,0.13,0.11699999999999999,1.377e-09,8.268e-10
850.0,0.13,0.11800000000000001,1.374e-09,8.230e-10
852.0,0.13,0.11800000000000001,1.370e-09,8.191e-10
854.0,0.13,0.11900000000000001,1.367e-09,8.153e-10
856.0,0.13,0.11900000000000001,1.364e-09,8.115e-10
858.0,0.13,0.12,1.361e-09,8.077e-10
860.0,0.13,0.12,1.358e-09,8.040e-10
862.0,0.13,0.121,1.354e-09,8.002e-10
864.0,0.13,0.122,1.351e-09,7.965e-10
866.0,0.13,0.122,1.348e-09,7.929e-10
868.0,0.13,0.12300000000000001,1.345e-09,7.892e-10
870.0,0.13,0.12300000000000001,1.342e-09,7.856e-10
872.0,0.13,0.124,1.339e-09,7.820e-10
874.0,0.13,0.124,1.336e-09,7.784e-10
876.0,0.13,0.125,1.333e-09,7.749e-10
878.0,0.13,0.125,1.330e-09,7.714e-10
880.0,0.13,0.126,1.327e-09,7.679e-10
882.0,0.13,0.127,1.324e-09,7.644e-10
884.0,0.13,0.127,1.321e-09,7.609e-10
886.0,0.13,0.128,1.318e-09,7.575e-10
888.0,0.13,0.128,1.315e-09,7.541e-10
890.0,0.13,0.129,1.312e-09,7.507e-10
892.0,0.13,0.129,1.309e-09,7.474e-10
894.0,0.13,0.13,1.306e-09,7.440e-10
896.0,0.13,0.13,1.303e-09,7.407e-10
898.0,0.13,0.131,1.300e-09,7.374e-10
900.0,0.13,0.132,1.297e-09,7.342e-10
902.0,0.13,0.132,1.294e-09,7.309e-10
904.0,0.14,0.115,1.391e-09,8.439e-10
906.0,0.14,0.11599999999999999,1.388e-09,8.402e-10
908.0,0.14,0.11599999999999999,1.385e-09,8.365e-10
910.0,0.14,0.11699999999999999,1.382e-09,8.329e-10
912.0,0.14,0.11699999999999999,1.379e-09,8.292e-10
914.0,0.14,0.11800000000000001,1.376e-09,8.256e-10
916.0,0.14,0.11800000000000001,1.373e-09,8.220e-10
918.0,0.14,0.11900000000000001,1.370e-09,8.184e-10
920.0,0.14,0.11900000000000001,1.367e-09,8.149e-10
922.0,0.14,0.12,1.364e-09,8.113e-10
924.0,0.14,0.12,1.361e-09,8.078e-10
926.0,0.14,0.121,1.358e-09,8.044e-10
928.0,0.14,0.121,1.355e-09,8.009e-10
930.0,0.14,0.122,1.352e-09,7.975e-10
932.0,0.14,0.122,1.349e-09,7.940e-10
934.0,0.14,0.12300000000000001,1.346e-09,7.906e-10
936.0,0.14,0.12300000000000001,1.343e-09,7.873e-10
938.0,0.14,0.124,1.340e-09,7.839e-10
940.0,0.14,0.124,1.338e-09,7.806e-10
942.0,0.14,0.125,1.335e-09,7.773e-10
944.0,0.14,0.125,1.332e-09,7.740e-10
946.0,0.14,0.126,1.329e-09,7.707e-10
948.0,0.14,0.126,1.326e-09,7.675e-10
950.0,0.14,0.127,1.324e-09,7.643e-10
